p; n; j; ind of insep; polygon; residual poly; defining poly; automorphism; galois group; 
p=2; n=4; d=1*p^11+...; I=[ 8, 4, 0 ]; R=[ <1, 8>, <2, 4>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 8*x + 2; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^11+...; I=[ 8, 4, 0 ]; R=[ <1, 8>, <2, 4>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 8*x^3 + 8*x + 2; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^11+...; I=[ 8, 4, 0 ]; R=[ <1, 8>, <2, 4>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 4*x^2 + 8*x + 2; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^11+...; I=[ 8, 4, 0 ]; R=[ <1, 8>, <2, 4>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 8*x^3 + 4*x^2 + 8*x + 2; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^11+...; I=[ 8, 4, 0 ]; R=[ <1, 8>, <2, 4>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 18; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^11+...; I=[ 8, 4, 0 ]; R=[ <1, 8>, <2, 4>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 8*x^3 + 18; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^11+...; I=[ 8, 4, 0 ]; R=[ <1, 8>, <2, 4>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 4*x^2 + 18; Aut=4T1; Gal=4T1
p=2; n=4; d=1*p^11+...; I=[ 8, 4, 0 ]; R=[ <1, 8>, <2, 4>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 8*x^3 + 4*x^2 + 18; Aut=4T1; Gal=4T1
p=2; n=4; d=1*p^11+...; I=[ 8, 4, 0 ]; R=[ <1, 8>, <2, 4>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 8*x + 18; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^11+...; I=[ 8, 4, 0 ]; R=[ <1, 8>, <2, 4>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 8*x^3 + 8*x + 18; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^11+...; I=[ 8, 4, 0 ]; R=[ <1, 8>, <2, 4>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 4*x^2 + 8*x + 18; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^11+...; I=[ 8, 4, 0 ]; R=[ <1, 8>, <2, 4>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 8*x^3 + 4*x^2 + 8*x + 18; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^11+...; I=[ 8, 4, 0 ]; R=[ <1, 8>, <2, 4>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 10; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^11+...; I=[ 8, 4, 0 ]; R=[ <1, 8>, <2, 4>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 8*x^3 + 10; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^11+...; I=[ 8, 4, 0 ]; R=[ <1, 8>, <2, 4>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 4*x^2 + 10; Aut=4T1; Gal=4T1
p=2; n=4; d=1*p^11+...; I=[ 8, 4, 0 ]; R=[ <1, 8>, <2, 4>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 8*x^3 + 4*x^2 + 10; Aut=4T1; Gal=4T1
p=2; n=4; d=1*p^11+...; I=[ 8, 4, 0 ]; R=[ <1, 8>, <2, 4>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 8*x + 10; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^11+...; I=[ 8, 4, 0 ]; R=[ <1, 8>, <2, 4>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 8*x^3 + 8*x + 10; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^11+...; I=[ 8, 4, 0 ]; R=[ <1, 8>, <2, 4>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 4*x^2 + 8*x + 10; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^11+...; I=[ 8, 4, 0 ]; R=[ <1, 8>, <2, 4>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 8*x^3 + 4*x^2 + 8*x + 10; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^11+...; I=[ 8, 4, 0 ]; R=[ <1, 8>, <2, 4>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 26; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^11+...; I=[ 8, 4, 0 ]; R=[ <1, 8>, <2, 4>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 8*x^3 + 26; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^11+...; I=[ 8, 4, 0 ]; R=[ <1, 8>, <2, 4>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 4*x^2 + 26; Aut=4T1; Gal=4T1
p=2; n=4; d=1*p^11+...; I=[ 8, 4, 0 ]; R=[ <1, 8>, <2, 4>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 8*x^3 + 4*x^2 + 26; Aut=4T1; Gal=4T1
p=2; n=4; d=1*p^11+...; I=[ 8, 4, 0 ]; R=[ <1, 8>, <2, 4>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 8*x + 26; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^11+...; I=[ 8, 4, 0 ]; R=[ <1, 8>, <2, 4>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 8*x^3 + 8*x + 26; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^11+...; I=[ 8, 4, 0 ]; R=[ <1, 8>, <2, 4>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 4*x^2 + 8*x + 26; Aut=2T1; Gal=4T3
p=2; n=4; d=1*p^11+...; I=[ 8, 4, 0 ]; R=[ <1, 8>, <2, 4>, <4, 0> ]; A=<t + 1, t^2 + 1>; f=x^4 + 8*x^3 + 4*x^2 + 8*x + 26; Aut=2T1; Gal=4T3
 
