K = Z3(a) = Z3[x] / x^2 + 2*x + 2
p=3; n=9; d=w*p^16+...; I=[ 8, 3, 0 ]; R=[ <1, 8>, <3, 3>, <9, 0> ]; A=<t + w, t^3 + 1>; f=x^9 + 3*a*x^8 + 6*x^3 + 18*x + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w*p^16+...; I=[ 8, 3, 0 ]; R=[ <1, 8>, <3, 3>, <9, 0> ]; A=<t + w, t^3 + 1>; f=x^9 + 3*a*x^8 + 6*x^3 + 18*a*x + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w*p^16+...; I=[ 8, 3, 0 ]; R=[ <1, 8>, <3, 3>, <9, 0> ]; A=<t + w, t^3 + 1>; f=x^9 + 3*a*x^8 + 6*x^3 + (18*a + 18)*x + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w*p^16+...; I=[ 8, 3, 0 ]; R=[ <1, 8>, <3, 3>, <9, 0> ]; A=<t + w, t^3 + 1>; f=x^9 + 3*a*x^8 + 6*x^3 + (9*a + 18)*x + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w*p^16+...; I=[ 8, 3, 0 ]; R=[ <1, 8>, <3, 3>, <9, 0> ]; A=<t + w, t^3 + 1>; f=x^9 + 3*a*x^8 + 6*x^3 + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w*p^16+...; I=[ 8, 3, 0 ]; R=[ <1, 8>, <3, 3>, <9, 0> ]; A=<w*t + w, t^3 + w>; f=x^9 + 3*a*x^8 + 6*a*x^3 + 9*x + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w*p^16+...; I=[ 8, 3, 0 ]; R=[ <1, 8>, <3, 3>, <9, 0> ]; A=<w*t + w, t^3 + w>; f=x^9 + 3*a*x^8 + 6*a*x^3 + 9*a*x + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w*p^16+...; I=[ 8, 3, 0 ]; R=[ <1, 8>, <3, 3>, <9, 0> ]; A=<w*t + w, t^3 + w>; f=x^9 + 3*a*x^8 + 6*a*x^3 + (9*a + 9)*x + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w*p^16+...; I=[ 8, 3, 0 ]; R=[ <1, 8>, <3, 3>, <9, 0> ]; A=<w*t + w, t^3 + w>; f=x^9 + 3*a*x^8 + 6*a*x^3 + (18*a + 9)*x + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w*p^16+...; I=[ 8, 3, 0 ]; R=[ <1, 8>, <3, 3>, <9, 0> ]; A=<w*t + w, t^3 + w>; f=x^9 + 3*a*x^8 + 6*a*x^3 + 18*x + 3; Aut=1T1; Gal=0T0
p=3; n=9; d=w*p^16+...; I=[ 8, 3, 0 ]; R=[ <1, 8>, <3, 3>, <9, 0> ]; A=<w*t + w, t^3 + w>; f=x^9 + 3*a*x^8 + 6*a*x^3 + 18*a*x + 3; Aut=1T1; Gal=0T0
